morphism_id,source,relation,target,evidence_tier,source_type,validation_status,citation_status,quantitative_status,pmid_count,pmids,has_context,has_full_text,source_mentioned,target_mentioned,endpoint_context_match,relation_support_heuristic,relation_context_support,quantitative_value_support,risk_flags
inhibits:Cilastatin->DPEP1,Cilastatin,inhibits,DPEP1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cilostazol->PDE3A,Cilostazol,inhibits,PDE3A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cimetidine->HRH2,Cimetidine,inhibits,HRH2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cimetidine->NFKB1,Cimetidine,inhibits,NFKB1,INFERRED,literature_citation,citation_unverified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cisplatin->TOP2A,Cisplatin,inhibits,TOP2A,ESTABLISHED,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Citalopram Hydrobromide->SLC6A4,Citalopram Hydrobromide,inhibits,SLC6A4,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clarithromycin->IL6,Clarithromycin,inhibits,IL6,INFERRED,literature_citation,citation_unverified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clascoterone->AR,Clascoterone,inhibits,AR,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clemastine->HRH1,Clemastine,inhibits,HRH1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clidinium->CHRM1,Clidinium,inhibits,CHRM1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clidinium->CHRM3,Clidinium,inhibits,CHRM3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clomipramine->SLC6A4,Clomipramine,inhibits,SLC6A4,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clopidogrel Besilate->P2RY12,Clopidogrel Besilate,inhibits,P2RY12,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clopidogrel Bisulfate->P2RY12,Clopidogrel Bisulfate,inhibits,P2RY12,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clopidogrel Hydrobromide->P2RY12,Clopidogrel Hydrobromide,inhibits,P2RY12,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clopidogrel->P2RY12,Clopidogrel,inhibits,P2RY12,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clozapine->DRD2,Clozapine,inhibits,DRD2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Clozapine->HTR2A,Clozapine,inhibits,HTR2A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cobimetinib->MAP2K1,Cobimetinib,inhibits,MAP2K1,ESTABLISHED,regulatory_label,established_source,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,True,False,none,
inhibits:Cobimetinib->MAP2K2,Cobimetinib,inhibits,MAP2K2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Concizumab->TFPI,Concizumab,inhibits,TFPI,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Conestat Alfa->SERPING1,Conestat Alfa,inhibits,SERPING1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Conivaptan->AVPR1A,Conivaptan,inhibits,AVPR1A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Conivaptan->AVPR2,Conivaptan,inhibits,AVPR2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Copanlisib->PIK3CA,Copanlisib,inhibits,PIK3CA,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Copanlisib->PIK3CD,Copanlisib,inhibits,PIK3CD,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cosibelimab->CD274,Cosibelimab,inhibits,CD274,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Crinecerfont->CRHR1,Crinecerfont,inhibits,CRHR1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Crizanlizumab->SELP,Crizanlizumab,inhibits,SELP,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Crizotinib->ALK,Crizotinib,inhibits,ALK,MEASURED,regulatory_label,established_source,non_pmid_source,no_quantitative_value,0,,False,False,False,True,False,False,False,none,
inhibits:Crizotinib->MET,Crizotinib,inhibits,MET,ESTABLISHED,regulatory_label,established_source,non_pmid_source,no_quantitative_value,0,,False,False,False,True,False,True,False,none,
inhibits:Crizotinib->MST1R,Crizotinib,inhibits,MST1R,MEASURED,bioactivity_database,database_record,pmid_with_context,structured_quantitative_value,8,24102046;28369651;31378572;36316649;41158152;41313568;41959926;42170268,True,False,True,False,True,True,True,structured_column,
inhibits:Crizotinib->ROS1,Crizotinib,inhibits,ROS1,ESTABLISHED,regulatory_label,established_source,non_pmid_source,no_quantitative_value,0,,False,False,False,True,False,True,False,none,
inhibits:Crofelemer->ANO1,Crofelemer,inhibits,ANO1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Crofelemer->CFTR,Crofelemer,inhibits,CFTR,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Crovalimab->C5,Crovalimab,inhibits,C5,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cyclizine Lactate->HRH1,Cyclizine Lactate,inhibits,HRH1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cyclobenzaprine->HTR2A,Cyclobenzaprine,inhibits,HTR2A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cyclobenzaprine->HTR2C,Cyclobenzaprine,inhibits,HTR2C,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cyclopentolate->CHRM3,Cyclopentolate,inhibits,CHRM3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cyclothiazide->SLC12A3,Cyclothiazide,inhibits,SLC12A3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cycrimine->CHRM1,Cycrimine,inhibits,CHRM1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cyproheptadine->HRH1,Cyproheptadine,inhibits,HRH1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dabigatran Etexilate->F2,Dabigatran Etexilate,inhibits,F2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dabrafenib->BRAF,Dabrafenib,inhibits,BRAF,ESTABLISHED,regulatory_label,established_source,non_pmid_source,no_quantitative_value,0,,False,False,False,True,False,True,False,none,
inhibits:Dacomitinib Anhydrous->EGFR,Dacomitinib Anhydrous,inhibits,EGFR,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dacomitinib Anhydrous->ERBB2,Dacomitinib Anhydrous,inhibits,ERBB2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dacomitinib Anhydrous->ERBB4,Dacomitinib Anhydrous,inhibits,ERBB4,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dacomitinib->EGFR,Dacomitinib,inhibits,EGFR,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dacomitinib->ERBB2,Dacomitinib,inhibits,ERBB2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dacomitinib->ERBB4,Dacomitinib,inhibits,ERBB4,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Danicopan->CFD,Danicopan,inhibits,CFD,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Danthron->RXRA,Danthron,inhibits,RXRA,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dantrolene->RYR1,Dantrolene,inhibits,RYR1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dantrolene->RYR3,Dantrolene,inhibits,RYR3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dapagliflozin Propanediol->SLC5A2,Dapagliflozin Propanediol,inhibits,SLC5A2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dapagliflozin->SLC5A2,Dapagliflozin,inhibits,SLC5A2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
