drug,drug_inn,disease,mechanism_target,terminal_relation,mechanism_strength,composite_confidence,pubmed_comentions,pubmed_drug_in_cancer,novelty_class,known_cheap_generic,any_trial_or_paper_found,verdict_WORTH_READING_TRIED_WRONG,checker_note,target_zone
Abemaciclib,Abemaciclib,Multiple_Myeloma,CDK4,associated_with,co-occurrence,0.55,2,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Arsenic Trioxide,Arsenic Trioxide,Ovarian_Cancer,TXNRD1,associated_with,co-occurrence,0.55,35,1041,WELL_STUDIED_PAIR,,,,,
Entrectinib,Entrectinib,Colorectal_Cancer,ALK,associated_with,co-occurrence,0.54,29,390,WELL_STUDIED_PAIR,,,,,
Entrectinib,Entrectinib,Ovarian_Cancer,ALK,associated_with,co-occurrence,0.54,3,390,KNOWN_DRUG_NEW_CANCER,,,,,
Entrectinib,Entrectinib,RCC,ALK,associated_with,co-occurrence,0.54,0,390,KNOWN_DRUG_NEW_CANCER,,,,,
Metformin,Metformin,Glioblastoma,AMPK,associated_with,co-occurrence,0.54,131,5396,WELL_STUDIED_PAIR,YES,,,,
Niclosamide,Niclosamide,Colorectal_Cancer,NFKB1,associated_with,co-occurrence,0.54,32,337,WELL_STUDIED_PAIR,YES,,,,
Auranofin,Auranofin,AML,TXNRD1,associated_with,co-occurrence,0.54,4,385,KNOWN_DRUG_NEW_CANCER,YES,,,,
Auranofin,Auranofin,NSCLC,TXNRD1,associated_with,co-occurrence,0.54,21,385,KNOWN_DRUG_NEW_CANCER,YES,,,,
Valproic_Acid,Valproic_Acid,NSCLC,HDAC2,associated_with,co-occurrence,0.5395,11,824,KNOWN_DRUG_NEW_CANCER,YES,,,,
Trametinib,Trametinib,Pancreatic_Cancer,MEK1,associated_with,co-occurrence,0.539,91,1309,WELL_STUDIED_PAIR,,,,,
Trametinib,Trametinib,Soft_Tissue_Sarcoma,MEK1,associated_with,co-occurrence,0.539,8,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Trametinib,Trametinib,Myelofibrosis,MEK1,associated_with,co-occurrence,0.539,2,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Trametinib,Trametinib,Li_Fraumeni_Syndrome,MEK1,associated_with,co-occurrence,0.539,0,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Trametinib,Trametinib,CML,MEK1,associated_with,co-occurrence,0.539,6,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Trametinib,Trametinib,Prostate_Cancer,MEK1,associated_with,co-occurrence,0.539,15,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Trametinib,Trametinib,Colorectal_Cancer,MEK1,associated_with,co-occurrence,0.539,121,1309,WELL_STUDIED_PAIR,,,,,
Trametinib,Trametinib,GIST,MEK1,associated_with,co-occurrence,0.539,2,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Trametinib,Trametinib,NSCLC,MEK1,associated_with,co-occurrence,0.539,218,1309,WELL_STUDIED_PAIR,,,,,
Trametinib,Trametinib,Ewing_Sarcoma,MEK1,associated_with,co-occurrence,0.539,1,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Trametinib,Trametinib,HCC,MEK1,associated_with,co-occurrence,0.539,24,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Trametinib,Trametinib,Multiple_Myeloma,MEK1,associated_with,co-occurrence,0.539,14,1309,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,Pancreatic_Cancer,CDK4,associated_with,co-occurrence,0.5335,23,2297,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,Myelofibrosis,CDK4,associated_with,co-occurrence,0.5335,1,2297,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,Li_Fraumeni_Syndrome,CDK4,associated_with,co-occurrence,0.5335,1,2297,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,CML,CDK4,associated_with,co-occurrence,0.5335,4,2297,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,Prostate_Cancer,CDK4,associated_with,co-occurrence,0.5335,22,2297,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,CLL,CDK4,associated_with,co-occurrence,0.5335,3,2297,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,Colorectal_Cancer,CDK4,associated_with,co-occurrence,0.5335,32,2297,WELL_STUDIED_PAIR,,,,,
Palbociclib,Palbociclib,AML,CDK4,associated_with,co-occurrence,0.5335,34,2297,WELL_STUDIED_PAIR,,,,,
Palbociclib,Palbociclib,GIST,CDK4,associated_with,co-occurrence,0.5335,2,2297,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,NSCLC,CDK4,associated_with,co-occurrence,0.5335,29,2297,WELL_STUDIED_PAIR,,,,,
Palbociclib,Palbociclib,Ewing_Sarcoma,CDK4,associated_with,co-occurrence,0.5335,3,2297,KNOWN_DRUG_NEW_CANCER,,,,,
Palbociclib,Palbociclib,HCC,CDK4,associated_with,co-occurrence,0.5335,31,2297,WELL_STUDIED_PAIR,,,,,
Mebendazole,Mebendazole,Breast_Cancer,TP53,associated_with,co-occurrence,0.533,23,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Pirfenidone,Pirfenidone,HCC,TGFB1,associated_with,co-occurrence,0.533,12,177,KNOWN_DRUG_NEW_CANCER,,,,,
Pirfenidone,Pirfenidone,NSCLC,TGFB1,associated_with,co-occurrence,0.533,21,177,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,Pancreatic_Cancer,CDK4,associated_with,co-occurrence,0.528,1,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,Myelofibrosis,CDK4,associated_with,co-occurrence,0.528,1,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,Li_Fraumeni_Syndrome,CDK4,associated_with,co-occurrence,0.528,1,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,CML,CDK4,associated_with,co-occurrence,0.528,0,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,Prostate_Cancer,CDK4,associated_with,co-occurrence,0.528,9,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,CLL,CDK4,associated_with,co-occurrence,0.528,0,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,Colorectal_Cancer,CDK4,associated_with,co-occurrence,0.528,9,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,AML,CDK4,associated_with,co-occurrence,0.528,1,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,GIST,CDK4,associated_with,co-occurrence,0.528,0,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,NSCLC,CDK4,associated_with,co-occurrence,0.528,3,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,Ewing_Sarcoma,CDK4,associated_with,co-occurrence,0.528,1,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Ribociclib,Ribociclib,HCC,CDK4,associated_with,co-occurrence,0.528,9,1153,KNOWN_DRUG_NEW_CANCER,,,,,
Regorafenib,Regorafenib,Breast_Cancer,RET,associated_with,co-occurrence,0.528,35,1562,WELL_STUDIED_PAIR,,,,,
Regorafenib,Regorafenib,Melanoma,RET,associated_with,co-occurrence,0.528,23,1562,KNOWN_DRUG_NEW_CANCER,,,,,
Everolimus,Everolimus,Ovarian_Cancer,MTOR,associated_with,co-occurrence,0.528,49,2310,WELL_STUDIED_PAIR,,,,,
Everolimus,Everolimus,Soft_Tissue_Sarcoma,MTOR,associated_with,co-occurrence,0.528,10,2310,KNOWN_DRUG_NEW_CANCER,,,,,
Everolimus,Everolimus,Myelofibrosis,MTOR,associated_with,co-occurrence,0.528,10,2310,KNOWN_DRUG_NEW_CANCER,,,,,
Everolimus,Everolimus,Type2_Diabetes,MTOR,associated_with,co-occurrence,0.528,0,2310,KNOWN_DRUG_NEW_CANCER,,,,,
Everolimus,Everolimus,Li_Fraumeni_Syndrome,MTOR,associated_with,co-occurrence,0.528,2,2310,KNOWN_DRUG_NEW_CANCER,,,,,
Everolimus,Everolimus,CML,MTOR,associated_with,co-occurrence,0.528,7,2310,KNOWN_DRUG_NEW_CANCER,,,,,
Everolimus,Everolimus,Prostate_Cancer,MTOR,associated_with,co-occurrence,0.528,54,2310,WELL_STUDIED_PAIR,,,,,
Everolimus,Everolimus,Colorectal_Cancer,MTOR,associated_with,co-occurrence,0.528,51,2310,WELL_STUDIED_PAIR,,,,,
Everolimus,Everolimus,GIST,MTOR,associated_with,co-occurrence,0.528,13,2310,KNOWN_DRUG_NEW_CANCER,,,,,
Everolimus,Everolimus,Ewing_Sarcoma,MTOR,associated_with,co-occurrence,0.528,4,2310,KNOWN_DRUG_NEW_CANCER,,,,,
Verapamil,Verapamil,Breast_Cancer,ABCB1,associated_with,co-occurrence,0.528,306,1417,WELL_STUDIED_PAIR,YES,,,,
Verapamil,Verapamil,Colorectal_Cancer,ABCB1,associated_with,co-occurrence,0.528,30,1417,WELL_STUDIED_PAIR,YES,,,,
Verapamil,Verapamil,Melanoma,ABCB1,associated_with,co-occurrence,0.528,61,1417,WELL_STUDIED_PAIR,YES,,,,
Verapamil,Verapamil,Multiple_Myeloma,ABCB1,associated_with,co-occurrence,0.528,46,1417,WELL_STUDIED_PAIR,YES,,,,
Verapamil,Verapamil,Ovarian_Cancer,ABCB1,associated_with,co-occurrence,0.528,65,1417,WELL_STUDIED_PAIR,YES,,,,
Verapamil,Verapamil,Prostate_Cancer,ABCB1,associated_with,co-occurrence,0.528,30,1417,WELL_STUDIED_PAIR,YES,,,,
Verapamil,Verapamil,Glioblastoma,ABCB1,associated_with,co-occurrence,0.528,31,1417,WELL_STUDIED_PAIR,YES,,,,
Verapamil,Verapamil,CLL,ABCB1,associated_with,co-occurrence,0.528,22,1417,KNOWN_DRUG_NEW_CANCER,YES,,,,
Sunitinib,Sunitinib,Pancreatic_Cancer,VEGFR2,associated_with,co-occurrence,0.5225,55,3237,WELL_STUDIED_PAIR,,,,,
Sunitinib,Sunitinib,Ovarian_Cancer,VEGFR2,associated_with,co-occurrence,0.5225,52,3237,WELL_STUDIED_PAIR,,,,,
Sunitinib,Sunitinib,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.5225,3,3237,KNOWN_DRUG_NEW_CANCER,,,,,
Sunitinib,Sunitinib,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.5225,0,3237,KNOWN_DRUG_NEW_CANCER,,,,,
Sunitinib,Sunitinib,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.5225,0,3237,KNOWN_DRUG_NEW_CANCER,,,,,
Sunitinib,Sunitinib,NSCLC,VEGFR2,associated_with,co-occurrence,0.5225,103,3237,WELL_STUDIED_PAIR,,,,,
Sunitinib,Sunitinib,Ewing_Sarcoma,VEGFR2,associated_with,co-occurrence,0.5225,2,3237,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Pancreatic_Cancer,MTOR,associated_with,co-occurrence,0.5225,9,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Ovarian_Cancer,MTOR,associated_with,co-occurrence,0.5225,23,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Soft_Tissue_Sarcoma,MTOR,associated_with,co-occurrence,0.5225,11,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Myelofibrosis,MTOR,associated_with,co-occurrence,0.5225,5,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Type2_Diabetes,MTOR,associated_with,co-occurrence,0.5225,0,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Li_Fraumeni_Syndrome,MTOR,associated_with,co-occurrence,0.5225,1,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,CML,MTOR,associated_with,co-occurrence,0.5225,1,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Prostate_Cancer,MTOR,associated_with,co-occurrence,0.5225,22,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Colorectal_Cancer,MTOR,associated_with,co-occurrence,0.5225,22,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,GIST,MTOR,associated_with,co-occurrence,0.5225,3,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,NSCLC,MTOR,associated_with,co-occurrence,0.5225,14,710,KNOWN_DRUG_NEW_CANCER,,,,,
Temsirolimus,Temsirolimus,Ewing_Sarcoma,MTOR,associated_with,co-occurrence,0.5225,5,710,KNOWN_DRUG_NEW_CANCER,,,,,
Metformin,Metformin,Colorectal_Cancer,AMPK,associated_with,co-occurrence,0.522,404,5396,WELL_STUDIED_PAIR,YES,,,,
Mebendazole,Mebendazole,AML,TP53,associated_with,co-occurrence,0.52,10,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,AML,AKT1,associated_with,co-occurrence,0.52,2,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,AML,AKT1,associated_with,co-occurrence,0.52,5,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Doxycycline,Doxycycline,CML,MMP2,associated_with,co-occurrence,0.52,11,1065,KNOWN_DRUG_NEW_CANCER,YES,,,,
Auranofin,Auranofin,Colorectal_Cancer,NFKB1,associated_with,co-occurrence,0.5184,19,385,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cisplatin,Cisplatin,RCC,TOP2A,associated_with,co-occurrence,0.51,84,51127,WELL_STUDIED_PAIR,YES,,,,
Pembrolizumab,Pembrolizumab,CML,CD4,associated_with,co-occurrence,0.51,1,8884,KNOWN_DRUG_NEW_CANCER,,,,,
Alectinib,Alectinib,AML,RET,associated_with,co-occurrence,0.51,2,1179,KNOWN_DRUG_NEW_CANCER,,,,,
Alectinib,Alectinib,Melanoma,RET,associated_with,co-occurrence,0.51,9,1179,KNOWN_DRUG_NEW_CANCER,,,,,
Alectinib,Alectinib,Prostate_Cancer,RET,associated_with,co-occurrence,0.51,3,1179,KNOWN_DRUG_NEW_CANCER,,,,,
Valproic_Acid,Valproic_Acid,CLL,HDAC1,associated_with,co-occurrence,0.51,14,824,KNOWN_DRUG_NEW_CANCER,YES,,,,
Valproic_Acid,Valproic_Acid,Glioblastoma,HDAC1,associated_with,co-occurrence,0.51,137,824,WELL_STUDIED_PAIR,YES,,,,
Valproic_Acid,Valproic_Acid,HCC,HDAC1,associated_with,co-occurrence,0.51,29,824,WELL_STUDIED_PAIR,YES,,,,
Valproic_Acid,Valproic_Acid,Melanoma,HDAC1,associated_with,co-occurrence,0.51,47,824,WELL_STUDIED_PAIR,YES,,,,
Valproic_Acid,Valproic_Acid,Multiple_Myeloma,HDAC1,associated_with,co-occurrence,0.51,24,824,KNOWN_DRUG_NEW_CANCER,YES,,,,
Valproic_Acid,Valproic_Acid,Ovarian_Cancer,HDAC1,associated_with,co-occurrence,0.51,17,824,KNOWN_DRUG_NEW_CANCER,YES,,,,
Valproic_Acid,Valproic_Acid,Prostate_Cancer,HDAC1,associated_with,co-occurrence,0.51,68,824,WELL_STUDIED_PAIR,YES,,,,
Ipilimumab,Ipilimumab,Pancreatic_Cancer,FOXP3,associated_with,co-occurrence,0.51,29,3000,WELL_STUDIED_PAIR,,,,,
Ipilimumab,Ipilimumab,Soft_Tissue_Sarcoma,FOXP3,associated_with,co-occurrence,0.51,15,3000,KNOWN_DRUG_NEW_CANCER,,,,,
Cisplatin,Cisplatin,Ewing_Sarcoma,TP53,associated_with,co-occurrence,0.51,43,51127,WELL_STUDIED_PAIR,YES,,,,
Disulfiram,Disulfiram,Ovarian_Cancer,TP53,associated_with,co-occurrence,0.506,17,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Artesunate,Artesunate,Colorectal_Cancer,NFKB1,associated_with,co-occurrence,0.504,31,458,WELL_STUDIED_PAIR,,,,,
Itraconazole,Itraconazole,Colorectal_Cancer,VEGFR2,associated_with,co-occurrence,0.504,8,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Oxaliplatin,Oxaliplatin,Ewing_Sarcoma,TP53,associated_with,co-occurrence,0.504,1,13815,KNOWN_DRUG_NEW_CANCER,YES,,,,
Alpelisib,Alpelisib,Prostate_Cancer,PIK3CA,associated_with,co-occurrence,0.5,4,500,KNOWN_DRUG_NEW_CANCER,,,,,
Alpelisib,Alpelisib,Glioblastoma,PIK3CA,associated_with,co-occurrence,0.5,4,500,KNOWN_DRUG_NEW_CANCER,,,,,
Copanlisib,Copanlisib,Prostate_Cancer,PIK3CA,associated_with,co-occurrence,0.5,5,93,KNOWN_DRUG_NEW_CANCER,,,,,
Copanlisib,Copanlisib,Glioblastoma,PIK3CA,associated_with,co-occurrence,0.5,0,93,KNOWN_DRUG_NEW_CANCER,,,,,
Inavolisib,Inavolisib,Prostate_Cancer,PIK3CA,associated_with,co-occurrence,0.5,0,63,KNOWN_DRUG_NEW_CANCER,,,,,
Inavolisib,Inavolisib,Glioblastoma,PIK3CA,associated_with,co-occurrence,0.5,0,63,KNOWN_DRUG_NEW_CANCER,,,,,
Carboplatin,Carboplatin,Ewing_Sarcoma,TP53,associated_with,co-occurrence,0.498,23,13940,KNOWN_DRUG_NEW_CANCER,YES,,,,
Suramin,Suramin,CML,PDGFRA,associated_with,co-occurrence,0.496,0,411,KNOWN_DRUG_NEW_CANCER,,,,,
Sorafenib,Sorafenib,Pancreatic_Cancer,VEGFR2,associated_with,co-occurrence,0.495,86,6418,WELL_STUDIED_PAIR,,,,,
Sorafenib,Sorafenib,Ovarian_Cancer,VEGFR2,associated_with,co-occurrence,0.495,80,6418,WELL_STUDIED_PAIR,,,,,
Sorafenib,Sorafenib,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.495,3,6418,KNOWN_DRUG_NEW_CANCER,,,,,
Sorafenib,Sorafenib,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.495,0,6418,KNOWN_DRUG_NEW_CANCER,,,,,
Sorafenib,Sorafenib,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.495,1,6418,KNOWN_DRUG_NEW_CANCER,,,,,
Sorafenib,Sorafenib,CML,VEGFR2,associated_with,co-occurrence,0.495,15,6418,KNOWN_DRUG_NEW_CANCER,,,,,
Sorafenib,Sorafenib,Prostate_Cancer,VEGFR2,associated_with,co-occurrence,0.495,87,6418,WELL_STUDIED_PAIR,,,,,
Metformin,Metformin,Pancreatic_Cancer,AMPK,associated_with,co-occurrence,0.495,311,5396,WELL_STUDIED_PAIR,YES,,,,
Auranofin,Auranofin,Ovarian_Cancer,TXNRD1,associated_with,co-occurrence,0.495,48,385,WELL_STUDIED_PAIR,YES,,,,
Ivermectin,Ivermectin,RCC,MTOR,associated_with,co-occurrence,0.492,2,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Nelfinavir,Nelfinavir,RCC,MTOR,associated_with,co-occurrence,0.492,1,145,KNOWN_DRUG_NEW_CANCER,,,,,
Doxycycline,Doxycycline,Prostate_Cancer,MMP9,associated_with,co-occurrence,0.492,53,1065,WELL_STUDIED_PAIR,YES,,,,
Doxycycline,Doxycycline,Type2_Diabetes,MMP9,associated_with,co-occurrence,0.492,0,1065,KNOWN_DRUG_NEW_CANCER,YES,,,,
Pirfenidone,Pirfenidone,Colorectal_Cancer,TGFB1,associated_with,co-occurrence,0.492,6,177,KNOWN_DRUG_NEW_CANCER,,,,,
Pirfenidone,Pirfenidone,Breast_Cancer,TGFB1,associated_with,co-occurrence,0.492,23,177,KNOWN_DRUG_NEW_CANCER,,,,,
Pirfenidone,Pirfenidone,Glioblastoma,TGFB1,associated_with,co-occurrence,0.492,2,177,KNOWN_DRUG_NEW_CANCER,,,,,
Pirfenidone,Pirfenidone,Type2_Diabetes,TGFB1,associated_with,co-occurrence,0.492,0,177,KNOWN_DRUG_NEW_CANCER,,,,,
Brigatinib,Brigatinib,Pancreatic_Cancer,EGFR,associated_with,co-occurrence,0.4875,2,462,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,AML,IL6,associated_with,co-occurrence,0.4875,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Encorafenib,Encorafenib,HCC,BRAF,associated_with,co-occurrence,0.485,0,300,KNOWN_DRUG_NEW_CANCER,,,,,
Encorafenib,Encorafenib,Pancreatic_Cancer,BRAF,associated_with,co-occurrence,0.485,2,300,KNOWN_DRUG_NEW_CANCER,,,,,
Vemurafenib,Vemurafenib,HCC,BRAF,associated_with,co-occurrence,0.485,7,951,KNOWN_DRUG_NEW_CANCER,,,,,
Vemurafenib,Vemurafenib,Pancreatic_Cancer,BRAF,associated_with,co-occurrence,0.485,8,951,KNOWN_DRUG_NEW_CANCER,,,,,
Adagrasib,Adagrasib,Breast_Cancer,KRAS,associated_with,co-occurrence,0.485,6,294,KNOWN_DRUG_NEW_CANCER,,,,,
Adagrasib,Adagrasib,HCC,KRAS,associated_with,co-occurrence,0.485,0,294,KNOWN_DRUG_NEW_CANCER,,,,,
Adagrasib,Adagrasib,Glioblastoma,KRAS,associated_with,co-occurrence,0.485,0,294,KNOWN_DRUG_NEW_CANCER,,,,,
Sotorasib,Sotorasib,Breast_Cancer,KRAS,associated_with,co-occurrence,0.485,8,509,KNOWN_DRUG_NEW_CANCER,,,,,
Sotorasib,Sotorasib,HCC,KRAS,associated_with,co-occurrence,0.485,1,509,KNOWN_DRUG_NEW_CANCER,,,,,
Sotorasib,Sotorasib,Glioblastoma,KRAS,associated_with,co-occurrence,0.485,1,509,KNOWN_DRUG_NEW_CANCER,,,,,
Bevacizumab,Bevacizumab,Melanoma,VEGFR2,associated_with,co-occurrence,0.484,285,11890,WELL_STUDIED_PAIR,,,,,
Bevacizumab,Bevacizumab,Ovarian_Cancer,VEGFR2,associated_with,co-occurrence,0.484,1408,11890,WELL_STUDIED_PAIR,,,,,
Bevacizumab,Bevacizumab,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.484,0,11890,KNOWN_DRUG_NEW_CANCER,,,,,
Bevacizumab,Bevacizumab,Breast_Cancer,VEGFR2,associated_with,co-occurrence,0.484,1331,11890,WELL_STUDIED_PAIR,,,,,
Bevacizumab,Bevacizumab,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.484,2,11890,KNOWN_DRUG_NEW_CANCER,,,,,
Bevacizumab,Bevacizumab,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.484,3,11890,KNOWN_DRUG_NEW_CANCER,,,,,
Bevacizumab,Bevacizumab,NSCLC,VEGFR2,associated_with,co-occurrence,0.484,1371,11890,WELL_STUDIED_PAIR,,,,,
Bevacizumab,Bevacizumab,Ewing_Sarcoma,VEGFR2,associated_with,co-occurrence,0.484,9,11890,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Glioblastoma,PDGFRA,associated_with,co-occurrence,0.4836,13,411,KNOWN_DRUG_NEW_CANCER,,,,,
Dabrafenib,Dabrafenib,HCC,BRAF,associated_with,co-occurrence,0.48,6,836,KNOWN_DRUG_NEW_CANCER,,,,,
Dabrafenib,Dabrafenib,Pancreatic_Cancer,BRAF,associated_with,co-occurrence,0.48,10,836,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,CML,PDGFRA,associated_with,co-occurrence,0.48,0,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,RCC,PDGFRA,associated_with,co-occurrence,0.48,1,101,KNOWN_DRUG_NEW_CANCER,,,,,
Propranolol,Propranolol,GIST,VEGFR2,associated_with,co-occurrence,0.48,1,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,AML,MTOR,associated_with,co-occurrence,0.48,70,509,WELL_STUDIED_PAIR,YES,,,,
Itraconazole,Itraconazole,Breast_Cancer,MTOR,associated_with,co-occurrence,0.48,52,509,WELL_STUDIED_PAIR,YES,,,,
Ivermectin,Ivermectin,Breast_Cancer,MTOR,associated_with,co-occurrence,0.48,44,202,WELL_STUDIED_PAIR,YES,,,,
Nelfinavir,Nelfinavir,Breast_Cancer,MTOR,associated_with,co-occurrence,0.48,21,145,KNOWN_DRUG_NEW_CANCER,,,,,
Artesunate,Artesunate,AML,NFKB1,associated_with,co-occurrence,0.476,14,458,KNOWN_DRUG_NEW_CANCER,,,,,
Ruxolitinib,Ruxolitinib,Melanoma,CLL,associated_with,co-occurrence,0.468,44,435,WELL_STUDIED_PAIR,,,,,
Ruxolitinib,Ruxolitinib,Multiple_Myeloma,CLL,associated_with,co-occurrence,0.468,37,435,WELL_STUDIED_PAIR,,,,,
Ruxolitinib,Ruxolitinib,Ovarian_Cancer,CLL,associated_with,co-occurrence,0.468,15,435,KNOWN_DRUG_NEW_CANCER,,,,,
Ruxolitinib,Ruxolitinib,Prostate_Cancer,CLL,associated_with,co-occurrence,0.468,8,435,KNOWN_DRUG_NEW_CANCER,,,,,
Ruxolitinib,Ruxolitinib,RCC,CLL,associated_with,co-occurrence,0.468,2,435,KNOWN_DRUG_NEW_CANCER,,,,,
Erlotinib,Erlotinib,AML,RCC,associated_with,co-occurrence,0.468,30,6432,WELL_STUDIED_PAIR,,,,,
Erlotinib,Erlotinib,CLL,RCC,associated_with,co-occurrence,0.468,0,6432,KNOWN_DRUG_NEW_CANCER,,,,,
Erlotinib,Erlotinib,HCC,RCC,associated_with,co-occurrence,0.468,131,6432,WELL_STUDIED_PAIR,,,,,
Erlotinib,Erlotinib,Melanoma,RCC,associated_with,co-occurrence,0.468,81,6432,WELL_STUDIED_PAIR,,,,,
Leflunomide,Leflunomide,Glioblastoma,PDGFRA,associated_with,co-occurrence,0.468,5,101,KNOWN_DRUG_NEW_CANCER,,,,,
Thalidomide,Thalidomide,Soft_Tissue_Sarcoma,VEGFR2,associated_with,co-occurrence,0.468,0,1054,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Soft_Tissue_Sarcoma,VEGFR2,associated_with,co-occurrence,0.468,2,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Pancreatic_Cancer,STAT3,associated_with,co-occurrence,0.4675,10,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Ovarian_Cancer,STAT3,associated_with,co-occurrence,0.4675,18,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Soft_Tissue_Sarcoma,STAT3,associated_with,co-occurrence,0.4675,0,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Myelofibrosis,STAT3,associated_with,co-occurrence,0.4675,0,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Type2_Diabetes,STAT3,associated_with,co-occurrence,0.4675,0,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Glioblastoma,STAT3,associated_with,co-occurrence,0.4675,10,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Li_Fraumeni_Syndrome,STAT3,associated_with,co-occurrence,0.4675,0,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,CML,STAT3,associated_with,co-occurrence,0.4675,3,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
